國文,英文,數學,社會,自然
9,8,13,7,11
13,9,14,14,15
8,11,15,11,14
10,13,10,10,13
7,13,7,13,7
14,7,10,11,11
14,15,7,10,10
9,6,12,15,7
7,15,14,13,6
15,8,15,6,6
15,10,12,13,8
15,14,10,9,13
7,8,11,9,7
13,9,11,7,12
9,14,6,10,7
14,6,12,14,9
15,7,10,8,15
8,10,6,9,7
14,12,11,12,10
10,6,13,14,14
11,13,15,13,6
6,13,7,12,9
7,9,11,7,14
12,8,13,6,10
11,13,12,11,12
9,13,10,10,12
15,10,8,7,13
13,7,7,6,13
13,12,15,15,9
15,13,10,8,6
14,9,10,11,11
11,15,7,15,9
8,12,12,15,14
15,8,6,8,14
8,8,7,9,15
12,12,11,13,6
8,7,12,6,7
13,13,10,11,11
13,14,13,6,15
9,10,15,10,14
6,6,11,10,15
7,15,13,7,12
7,10,14,9,14
14,12,6,10,12
15,15,9,6,11
7,11,14,15,15
14,12,13,13,11
12,6,7,12,12
6,10,10,15,9
7,10,8,11,14
15,14,14,6,12
11,15,7,7,6
12,10,14,12,8
13,11,7,10,7
14,8,7,8,14
8,9,12,10,6
8,12,9,13,12
13,7,15,13,12
12,14,8,9,13
7,6,13,15,13
6,13,13,14,8
8,13,12,11,10
9,9,14,7,12
6,12,12,14,6
7,7,7,12,14
10,14,9,14,7
10,14,8,13,6
13,12,14,8,14
7,8,14,15,13
11,7,8,12,8
13,8,7,14,15
11,10,9,12,6
7,10,9,14,9
6,7,11,12,15
12,10,15,10,13
14,6,12,14,6
10,6,6,10,11
15,15,9,14,7
6,10,15,13,15
15,14,10,13,9
9,13,7,12,13
9,11,6,12,7
12,7,7,11,11
14,6,8,9,10
6,10,9,7,10
14,10,8,10,15
15,12,12,13,11
12,8,10,8,6
9,15,14,10,14
11,9,8,11,9
13,8,12,8,6
14,12,7,9,11
12,7,13,11,13
9,8,6,10,6
9,10,13,13,10
11,7,8,9,12
14,14,14,7,14
15,9,12,8,10
9,14,6,12,11
7,13,13,9,13
